,Autore,Stelle,Data,Titolo,Recensione,Lingua,Recensione_tradotta
262,Manne F.,4,2023-07-09,"Für den Preis, kann man nicht meckern!","Die Uhren kamen nicht wie angegeben am nächsten Tag, sondern ein paar Tage später, was nun aber nicht so schlimm gewesen ist. Hatten sich dafür entschuldigt.Zu der/en Uhr/en, beide ließen sich ohne größere Probleme mit den Handys verbinden. Bei den persönlichen Einstellungen muss man sich halt ein wenig mit beschäftigen, soll heißen, jeder muss seine eigenen Einstellungen machen/finden.Ist doch so, wenn man was neues hat, beschäftigt man sich erstmal intensiv damit.Wenn die Einstellungen erledigt sind, dann macht die Uhr, wofür sie gedacht sind.Alle Angaben, sind aber nur so ""ungefähr."" Wenn man zum Beispiel den Arm vor und zurück bewegt (im Sitzen!), an dem man die Uhr hat, wird dies als Schritte aufgenommen.Ok, kann man mit ""Leben.""Der Akku scheint sehr gut zu sein, denn nach 5 vollen Tagen, zeigt die Uhr noch 28% an.Ob sie wasserdicht sind, weiß ich nicht und werde es auch nicht testen!!!Kurz um, bin bis jetzt mit den Uhren sehr zufrieden. Wie lange die Lebensdauer sein wird, abwarten.Preis-Leistung stimmt für mich jedenfalls.",de,"Gli orologi non sono arrivati ​​il ​​giorno successivo come indicato, ma qualche giorno dopo, il che non è stato poi così male. Ci scusiamo per questo, ma per quanto riguarda l'orologio/i entrambi possono essere collegati al cellulare senza grossi problemi. Quando si tratta di impostazioni personali, devi solo dedicarci un po' di tempo, il che significa che ognuno deve creare/trovare le proprie impostazioni. È così, quando hai qualcosa di nuovo, per prima cosa lo affronti intensamente. vengono eseguite le impostazioni, quindi verifica l'orologio, a cosa sono destinate. Tutte le informazioni sono solo ""approssimative"". Ad esempio, se muovi avanti e indietro (stando seduto!) il braccio su cui hai l'orologio, questo verrà registrato come passi. Ok, puoi conviverci. La batteria sembra essere molto buona, perché dopo 5 giorni di carica Giorni fa l'orologio mostra ancora il 28%.Non so se sono impermeabili e non li testerò nemmeno!In breve, per ora sono molto soddisfatto degli orologi. Dovremo aspettare per vedere quanto durerà, in ogni caso il rapporto qualità-prezzo per me è giusto."
263,amandaW,4,2023-08-04,Gut aber umständlich,"Super Bildqualität!Anruf Empfangs Ton ist klar u deutlich nur leider sehr leise und man kann kein Sprach Ton lauter stellen u man muss laut in den smartwatch rein schreien, damit der Anrufer dich überhaupt hört.Die Bedienung ist zwar einfach aber teilweise etwas umständlich.Die Vital messfunktion entspricht die RealitätDie Sport bzw. Bewegungs Auswahl ist okay nur schade, dass es nicht automatisch die Schritte einfach zählt, man muss jedes einzelne extra einstellen.Leider gibt es nur zwei Farben bei dieser smartwatch entweder in schwarz oder Rosa beides absolut nicht mein Fall, aber okay.Preisleistungsverhältnis ist bei der reduzierten Preis okay aber mehr würde ich nicht dafür zahlen wollen.Insgesamt bin ich damit zufrieden.",de,"Ottima qualità dell'immagine!Il suono della ricezione della chiamata è chiaro ma purtroppo molto basso e non è possibile alzare il volume della voce e devi gridare forte nello smartwatch in modo che chi chiama possa sentirti.Il funzionamento è semplice ma a volte un po' complicato La funzione di misurazione vitale corrisponde alla realtà La selezione dello sport o dell'esercizio va bene, peccato solo che non conteggi automaticamente i passi, bisogna impostarli separatamente. Sfortunatamente, ci sono solo due colori per questo smartwatch, nero o rosa, entrambi non sono assolutamente nelle mie corde, ma vanno bene. Il rapporto qualità-prezzo va bene per il prezzo ridotto, ma non vorrei pagarlo di più. Nel complesso sono soddisfatto."
264,natalie kingsley,4,2023-08-23,Very good,I had been looking for a good watch for awhile and I am very happy with what I got,en,Era da un po' che cercavo un buon orologio e sono molto soddisfatto di quello che ho ottenuto
265,Amazon Customer,4,2023-08-15,Watch,Hi my watch has just stopped working it is fully charged and not showing anything on the screen. It was working fine till now I've messaged the seller but had no reply,en,"Ciao, il mio orologio ha appena smesso di funzionare, è completamente carico e non mostra nulla sullo schermo. Finora funzionava bene, ho inviato un messaggio al venditore ma non ho ricevuto risposta"
266,Mike hedderich,4,2023-09-28,Schöne Swartwatch,"Sehr schöne Uhr, vom Design kein unterschied zu Namenhaften Herstellern. Was nicht so toll ist, dass die Verbindung zur App öfters unterbrochen ist und keine Mitteilungen auf der Uhr erscheinen wofür ich sie mir Hauptsächlich besorgt habe.Aber rundum eine sehr schöne Uhr.",de,"Orologio molto bello, nessuna differenza nel design rispetto ai produttori noti. Quello che non è eccezionale è che la connessione all'app si interrompe spesso e sull'orologio non compaiono messaggi, cosa per cui l'ho preso principalmente, ma tutto sommato è un orologio molto carino."
267,Brigitte Gertenbach,4,2023-09-07,Leicht einzustellen,"Heute angekommen, schnell und leicht zu installieren. Jetzt wird sie getestet. Also ich bin überzeugt, der Kauf hat sich gelohnt. Akku hält lange, Funktionen noch nicht alle durch, aber alles leicht verständlich. 👍",de,"Arrivato oggi, facile e veloce da installare. Ora è in fase di test. Quindi sono convinto che ne sia valsa la pena l'acquisto. La batteria dura parecchio, non tutte le funzioni sono disponibili, ma tutto è di facile comprensione. 👍"
268,Möhre,4,2023-08-10,Smartwatch,"Einstellung war einfach, funktionierte die erste Woche perfekt. Dann fehlten die Funktionen, Schritte, Kcal, Schlaf. Wollte sie daraufhin sofort zurück schicken. Nachdem ich mich aber für einen Neustart der Uhr entschieden habe, funktioniert sie perfekt. Schlaf, denke ich mal erkennt sie meiner Meinung nach nicht richtig, die Wachzeiten sieht sie anscheinend als leichten Schlaf an. Ansonsen muß ich sagen, ist sie perfekt. Was für mich persönlich relewand ist, zeigt sie auf. Der Preis ist natürlich auch posetiv. Der einzige Mangel den ich noch hinzufügen möchte, dass sie etwas groß ist für eine Dame.",de,"L'installazione è stata semplice, ha funzionato perfettamente per la prima settimana. Poi mancavano le funzioni, i passi, le calorie, il sonno. Allora volevo rispedirlo immediatamente. Ma dopo aver deciso di riavviare l'orologio, funziona perfettamente. Penso che non riconosca correttamente il sonno; sembra che consideri le ore di veglia come un sonno leggero. Per il resto devo dire che è perfetto. Lei mostra ciò che è importante per me personalmente. Naturalmente anche il prezzo è positivo. L'unico difetto che vorrei aggiungere è che è un po' grande per una signora."
269,njschmid,4,2023-09-17,Preiswert,Für den Preis ist es eine gute smartwatch.Da kann man beim Kauf nichts falsch machen.,de,"Per il prezzo è un buon smartwatch, non puoi sbagliare acquistandolo."
270,Champland,4,2023-08-18,Vendeur correct et a l'ecoute,La montre fait le job.,fr,L'orologio fa il suo lavoro.
271,Rui zacarias,4,2023-09-07,Mid,"It’s definitely a good watch but I’m looking for one where I can reply to notifications, unfortunately with this watch u can only make calls, no texts and can only read the notifications.Other then that it seems to be working fine.",en,"È sicuramente un buon orologio ma ne sto cercando uno in cui posso rispondere alle notifiche, sfortunatamente con questo orologio puoi solo effettuare chiamate, nessun messaggio e puoi solo leggere le notifiche. A parte questo sembra che funzioni bene."
272,Daniela,4,2023-08-06,"Trotz günstig,perfekt.","Die Uhr ist Fantastisch. Funktion genau wie in der Beschreibung. Sehr leicht,man spürt sie kaum. Armband lässt sich einfach wechseln. Habe sie jetzt zwei Wochen und habe sie nur einmal aufladen müssen in der Zeit obwohl ich viel mit der Uhr mache zb. Telefonieren.",de,"L'orologio è fantastico. Funziona esattamente come nella descrizione. Molto leggero, quasi non lo senti. Il braccialetto può essere facilmente cambiato. Ce l'ho da due settimane ormai e durante questo periodo ho dovuto caricarlo solo una volta, anche se, ad esempio, faccio molto con l'orologio. Fare una chiamata."
273,jeff,4,2023-09-06,Works great last three days,Works great last three days Gigi to keep an eye on what you’re doing an alert you when you need to do other things,en,Funziona alla grande negli ultimi tre giorni Gigi per tenere d'occhio quello che stai facendo e avvisarti quando devi fare altre cose
274,Alexa,4,2023-08-02,Lo compre porque pensé que rendirá más duncuobes de deporte/ejercicios pero es muy pobre su listado,"Si tuviera un listado más amplio de ejercicios sería muy bueno y funcional, pero el listado me resulta muy pobre.",es,"Se avessi una lista di esercizi più ampia sarebbe molto bella e funzionale, ma la lista per me è molto povera."
275,Antoine,4,2023-07-01,Montre connectée,"Facile d'utilisation.Seul bémol,  pour moi on ne peut enregistrer que 10 contacts.  A part ça, satisfait de mon achat",fr,"Facile da usare L'unico lato negativo è che per me puoi salvare solo 10 contatti. A parte questo, soddisfatto del mio acquisto"
276,Sandra ,4,2023-06-25,Montre connectée,"Très jolie montre connectée,  facile d utilisation.J'ai mis 4 étoiles pourquoi ? Le seul hic c'est juste qu'il y ai 1 bracelet.",fr,Orologio connesso molto carino e facile da usare. Perché gli ho dato 4 stelle? L'unico problema è che c'è 1 braccialetto.
277,DIBANGANGA KEYI NILLE,4,2023-06-30,Ça fonctionne très bien.,"Un très bon appareil et les fonctionnalités sont exactement comme à la description, je le recommande.",fr,"Un ottimo dispositivo e le funzionalità sono esattamente come descritte, lo consiglio."
278,david,4,2023-06-13,montre connectée,bon produit comme d ecrit dans le descriptifj ai achter une 2eme pour ma grande fille,fr,buon prodotto come descritto nella descrizione. Ne ho comprato un secondo per mia figlia grande
279,Pip64,4,2022-10-11,Reliable,"Smart looking watch, the app and watch take some getting used to. Cannot get it to work on my left and favoured wrist, but works fine on my right but feels uncomfortable, will need to get used to it. Still early days. Would also like to change colour of the strap, black though looks smart is boring and I'm colourful 😂",en,"Orologio dall'aspetto intelligente, è necessario un po' di tempo per abituarsi all'app e all'orologio. Non riesco a farlo funzionare sul mio polso sinistro e preferito, ma funziona bene sul mio destro ma mi sento a disagio, dovrò abituarmi. Ancora all'inizio. Vorrei anche cambiare il colore del cinturino, il nero anche se sembra elegante è noioso e io sono colorata 😂"
280,Bret St Clair,4,2023-05-10,Alexa,"Bonjour, comment connecter la montre à Alexa ? J'ai pu avoir 1 fois la météo mais depuis la montre est déconnectée et impossible de l'utiliser avec Alexa.Si quelqu'un peut m'aider je le remercie d'avance.",fr,"Ciao, come collego l'orologio ad Alexa? Sono riuscito ad avere le previsioni del tempo una volta ma da allora l'orologio si è disconnesso ed è impossibile usarlo con Alexa, se qualcuno può aiutarmi lo ringrazio in anticipo."
281,Jetson,4,2023-08-23,Preisleistungsverhältnis Super!,Hat als Geschenk gepasst und der Person sehr gefallen!,de,È stato un regalo perfetto e alla persona è piaciuto davvero tanto!
282,Isabelle Six,4,2023-05-20,Fissures montre,Bonjour je viens de m apercevoir qu il y avait une fissure tout le long de mon écran.,fr,"Ciao, ho appena notato che c'era una crepa lungo tutto il mio schermo."
283,Jansen Marion,4,2023-08-18,Schöne Uhr,Für mich nicht kompatibel genug.,de,Non abbastanza compatibile per me.
284,Christian,4,2023-06-27,Top Uhr zu einem Hammer Preis,"Also für dieses Geld eine Top Uhr....Akku hält super und die Uhr kann wirklich viel, was für mich absolut ausreicht. Sogar Anrufe entgegen nehmen und telefonieren geht (mit Lautsprecher). Die Alexa Funktion ist auch super und allgemein ist die Bedienung top.Habe mir noch Nylon Armbänder geholt, weil das beigefügte Plastikarmband durchaus Gerüche im Sommer hervorrufen kann, wenn man schwitzt.Allgemein TOP Kaufempfehlung.",de,"Quindi per questa cifra è un orologio top... la batteria dura benissimo e l'orologio può fare davvero tanto, il che per me è assolutamente sufficiente. Puoi anche ricevere ed effettuare chiamate (con l'altoparlante). Anche la funzione Alexa è ottima e il funzionamento in generale è ottimo. Ho anche preso dei braccialetti in nylon perché il braccialetto in plastica incluso può causare odori quando si suda in estate. Generalmente raccomandazione di acquisto TOP."
285,Leonard J. Mitchell,4,2023-09-09,Smart watch,"Somewhat hard to navigate between different watch faces and signals. Still, it is excellent value.",en,"Un po' difficile navigare tra i diversi quadranti e segnali. Comunque, il rapporto qualità/prezzo è eccellente."
286,Ilka de Vries,4,2023-08-12,Smartwatch,Die ist 👍,de,Questo è 👍
287,Marsell,4,2023-07-26,It's ok,It's ok. I got it to see if I wanted to upgrade and get a samsung watch. Doesn't read your heart rate correctly at all. Does a subpar job of monitoring sleep. But you can make calls and hear pretty well and all of your notifications come through as well. Overall it is what it is,en,Va bene. L'ho preso per vedere se volevo aggiornare e prendere un orologio Samsung. Non legge affatto correttamente la frequenza cardiaca. Fa un lavoro scadente nel monitorare il sonno. Ma puoi effettuare chiamate e ascoltare abbastanza bene e arrivano anche tutte le notifiche. Nel complesso è quello che è
288,Valerie,4,2023-09-11,Smart watch,"Love the color, works great does everything it claims.",en,"Adoro il colore, funziona alla grande e fa tutto ciò che afferma."
289,Maria conde ,4,2023-07-23,Ist gut,Hat grosse Uhr Werk aber hat alles was man braucht,de,Ha un grande movimento dell'orologio ma ha tutto ciò di cui hai bisogno
290,Amazon Kunde,4,2023-07-19,Guter Preis,Alles bestens bis jetzt,de,Va tutto bene finora
291,Poirier marie annick,4,2023-04-01,Peut pas connecter a Alexa car pas le code qu'on me demande,"Pas de connections a Alexa car pas le code, j'ai tout essayer je le trouve pas, dommage, pas satisfaite",fr,"Nessuna connessione ad Alexa perché non ho il codice, ho provato di tutto e non riesco a trovarlo, peccato, non sono soddisfatto"
292,Donald E Lees,4,2023-07-17,Works fine using blue tooth,"No description defining the icons, the app captures heartrate and steps but I don't know what the other icons mean so I ignore them.",en,"Nessuna descrizione che definisce le icone, l'app cattura frequenza cardiaca e passi ma non so cosa significhino le altre icone quindi le ignoro."
293,PZ,4,2023-02-23,Première journée ok,"Pas de souci, utilisation facile.Permet l'utilisation de weward.Juste un peu difficile de fixer les 2 parties du bracelet au cadran...",fr,"Nessun problema, facile da usare. Permette l'uso del weward. Solo un po' di difficoltà per attaccare le 2 parti del braccialetto al quadrante..."
294,Sinan Güleç,4,2023-05-21,Way too good,It is very good thinking the price of apple or samsung watchs. The only bad thing about this watch is it isn't working without the app. App should always be open.,en,È molto bello pensare al prezzo degli orologi Apple o Samsung. L'unica cosa negativa di questo orologio è che non funziona senza l'app. L'app dovrebbe essere sempre aperta.
295,stuart murray,4,2023-03-07,Great price,I bought this watch for my wife’s birthday and she is well happy ( result )I had a little problem setting it up for calls but after a bit of patience I got there.I highly recommended this smart watch,en,Ho comprato questo orologio per il compleanno di mia moglie ed è contenta (risultato). Ho avuto un piccolo problema nel configurarlo per le chiamate ma dopo un po' di pazienza ci sono riuscito. Consiglio vivamente questo smartwatch
296,T. Frank Stetz,4,2023-07-02,Battery life only a day.  Not good..,"Liked all of the functions of the unit, but the battery life.  My last $59.00 dollar watch had a battery that lasted a week so am kinda spoiled...",en,"Mi sono piaciute tutte le funzioni dell'unità, tranne la durata della batteria. Il mio ultimo orologio da 59 dollari aveva una batteria che durava una settimana, quindi sono un po' viziato..."
297,Dennielle M.,4,2023-03-07,So far tis good.,"Just got my watch today but had to share this review before I forgot. Watch band IS changeable! (See photos. I bought the blue version and now have a purple band.) It takes 20mm bands but 18mm pins. How they made that work idk. I love this watch so far all the same. 1 gripe... I want to be able to turn the watchface off with my button instead of it going off on its own. Idk just reall bugs me. Over all, good screen picture, good sound quality,  love ALL the customizations of the watch, (even with the 30min pin struggle), easy but a pleasant upgrade from my newbie watch. Day 1... pleased.",en,"Ho appena ricevuto il mio orologio oggi ma dovevo condividere questa recensione prima che me ne dimenticassi. Il cinturino dell'orologio è modificabile! (Vedi foto. Ho comprato la versione blu e ora ho un cinturino viola.) Sono necessari cinturini da 20 mm ma perni da 18 mm. Come abbiano fatto a funzionare, non lo so. Adoro questo orologio finora lo stesso. 1 lamentela... Voglio poter spegnere il quadrante con il pulsante invece che si spenga da solo. Non lo so, mi dà davvero fastidio. Nel complesso, buona immagine sullo schermo, buona qualità del suono, adoro TUTTE le personalizzazioni dell'orologio (anche con la lotta con i pin di 30 minuti), aggiornamento facile ma piacevole dal mio orologio da principiante. Giorno 1... soddisfatto."
298,R. Pasley,4,2023-07-24,"Let's say, somewhere around 80% of a samsung 5. And let's also say about 1/4th price. Nuf said???","The title should say it, eh?",en,"Il titolo dovrebbe dirlo, eh?"
299,Brian Rowan,4,2022-12-02,Excellent Watch. However Charger broke but replaced,Bought this in October and the Charger broke.Subsequently I have been sent a replacement watch. Thank youExcellent watch.,en,L'ho comprato a ottobre e il caricabatterie si è rotto. Successivamente mi è stato inviato un orologio sostitutivo. GrazieOttimo orologio.
300,Eric Barmes,4,2023-05-25,I like it.,Does everything I need. Get over a week or almost two depending on activity for battery and easy to use. Make sure you sync it daily or if you turn off phone then sync it or you won't get notifications but soon as I sync it then works great!,en,"Fa tutto ciò di cui ho bisogno. Ottieni più di una settimana o quasi due a seconda dell'attività della batteria e della facilità d'uso. Assicurati di sincronizzarlo quotidianamente o, se spegni il telefono, sincronizzalo altrimenti non riceverai notifiche, ma non appena lo sincronizzo funziona alla grande!"
301,Sarabjit Kaur,4,2023-04-01,Good product,Satisfied with the product as compare to price. My son loves it.,en,Soddisfatto del prodotto in rapporto al prezzo. Mio figlio lo adora.
302,ange,4,2023-01-30,Ne pas acheter,Le Bluetooth se deconnect tout les 2s sa devien rasoir déçu 😞,fr,"Il Bluetooth si disconnette ogni 2 secondi, diventa una vera delusione 😞"
303,Gene Bean,4,2023-06-20,Connects to iphone fairly easy.,Product was bought to monitor afib heart rate.  Enjoy other features.,en,Il prodotto è stato acquistato per monitorare la frequenza cardiaca di fibrillazione atriale. Goditi altre funzionalità.
304,mrs t.,4,2023-03-10,Ideal for what I want.,Nice  big screen easy to see.,en,Bel grande schermo facile da vedere.
305,Penelope W. Hughes,4,2023-06-07,Fitbit,I like the product but instruction should be more explicit.,en,Il prodotto mi piace ma le istruzioni dovrebbero essere più esplicite.
306,Rick Malament,4,2023-05-11,Good sleep tracking,"Device has many useful features (heart rate, SpOx, sleep tracking).  Usually pairs well with my iPhone via bluetooth. Display is bright and the many watch face options are helpful",en,"Il dispositivo ha molte funzioni utili (frequenza cardiaca, SpOx, monitoraggio del sonno). Di solito si abbina bene al mio iPhone tramite bluetooth. Il display è luminoso e le numerose opzioni del quadrante sono utili"
307,Frau Dubral,4,2023-04-17,Alles gut,Alles super,de,Tutto fantastico
308,Lazzeri Andrea,5,2023-11-06,Ottimo prodotto,"Consegna velocissima, prodotto ben fatto, funzioni ampie. Amo che posso collegarlo anche con Alexa così posso gestire la mia musica e tant’ altro.Dopo il acquisto si può avere varie scelte, tipo centurino e protezione dello schermo, molto soddisfatta del acquisto e lo consiglio perché merita più di 5 stelle 😁",it,"Consegna velocissima, prodotto ben fatto, funzioni ampie. Amo che posso collegarlo anche con Alexa così posso gestire la mia musica e tant’ altro.Dopo il acquisto si può avere varie scelte, tipo centurino e protezione dello schermo, molto soddisfatta del acquisto e lo consiglio perché merita più di 5 stelle 😁"
309,Cliente Amazon,5,2023-10-21,Assolutamente una sorpresa!,"Per il costo che ha va più che bene.La chiamata direttamente sul telefono è molto comodo, anche la qualità dell' audio non è male!Comodissimo il segnale del bluetooth che diventa rosso quando si è troppo lontano dal telefonoÈ un perfetto compagno di allenamentoUnico neo che posso trovare: a volte non è semplice collegare il dispositivo con i dati raccolti,e ogni tanto perde il segnale anche se il telefono è vicino",it,"Per il costo che ha va più che bene.La chiamata direttamente sul telefono è molto comodo, anche la qualità dell' audio non è male!Comodissimo il segnale del bluetooth che diventa rosso quando si è troppo lontano dal telefonoÈ un perfetto compagno di allenamentoUnico neo che posso trovare: a volte non è semplice collegare il dispositivo con i dati raccolti,e ogni tanto perde il segnale anche se il telefono è vicino"
310,Annalisa ,5,2023-11-11,Smartwatch donna,Mi è piaciuto che si possono effettuare chiamate e riceverle rispondendo direttamente con lo smartwatch molto utile e bello..inoltre ha anche alexa e visualizza tutte le notifiche che ricevo..Molto utile lo consiglio 👍,it,Mi è piaciuto che si possono effettuare chiamate e riceverle rispondendo direttamente con lo smartwatch molto utile e bello..inoltre ha anche alexa e visualizza tutte le notifiche che ricevo..Molto utile lo consiglio 👍
311,Simona,5,2023-10-21,Ottimo,"Ottimo in tutto.. durata della batteria: ETERNA!!!  Un sacco di funzioni, ma la cosa migliore è la chiamata.. finalmente posso rispondere anche mentre magari sto lavando i piatti oppure in situazioni dove generalmente ci metto 2 minuti prima di arrivare al telefono e perdo la chiamata.. audio ottimo, dati corrispondenti quasi perfetti nel conteggio di passi e calorie, si può personalizzare il display (io ho messo la foto dei miei figli).. prezzo e qualità assolutamente competitive al Garmin che avevo precedentemente..",it,"Ottimo in tutto.. durata della batteria: ETERNA!!!  Un sacco di funzioni, ma la cosa migliore è la chiamata.. finalmente posso rispondere anche mentre magari sto lavando i piatti oppure in situazioni dove generalmente ci metto 2 minuti prima di arrivare al telefono e perdo la chiamata.. audio ottimo, dati corrispondenti quasi perfetti nel conteggio di passi e calorie, si può personalizzare il display (io ho messo la foto dei miei figli).. prezzo e qualità assolutamente competitive al Garmin che avevo precedentemente.."
312,Di A.,5,2023-10-26,ottimo prodotto,"Smartwatch con ottimo rapporto qualità-prezzo. Ho apprezzato le scritte grandi, la facile comprensione delle funzioni, il pulsante svuota-acqua, per dirne qualcuna. Meno interessante la cintura, la cui clip di chiusura risulta scomoda da inserire sotto la stessa, una volta messa sul polso. Metto qualche foto.",it,"Smartwatch con ottimo rapporto qualità-prezzo. Ho apprezzato le scritte grandi, la facile comprensione delle funzioni, il pulsante svuota-acqua, per dirne qualcuna. Meno interessante la cintura, la cui clip di chiusura risulta scomoda da inserire sotto la stessa, una volta messa sul polso. Metto qualche foto."
313,Minov Andreea,5,2023-11-08,Buon prodotto qualità - prezzo,"Mi piace molto l'orologio anche per il fatto che si possa fare una chiamata senza problemi, l audio è molto chiaro, è facile da usare, Topp!",it,"Mi piace molto l'orologio anche per il fatto che si possa fare una chiamata senza problemi, l audio è molto chiaro, è facile da usare, Topp!"
314,Roberto,5,2023-11-15,Ottimo passatempo preferito e papà,È un buon aiuto è un regalo,it,È un buon aiuto è un regalo
315,vincenzo,5,2023-11-14,Ottimo smartwatch.,Ottimo smartwatch per adulti e per bambini. 🔝,it,Ottimo smartwatch per adulti e per bambini. 🔝
316,Sarah ,5,2023-10-02,Soddisfatta,,,
317,vilardi domenico,5,2023-11-11,Orologio .....,"Uso questo prodotto, veramente bello, tutti i giorni e funziona perfettamente..",it,"Uso questo prodotto, veramente bello, tutti i giorni e funziona perfettamente.."
318,Alex,5,2023-11-11,Qualità prezzo buona,"Batteria buona, design buono, offre tanto per quel che costa",it,"Batteria buona, design buono, offre tanto per quel che costa"
319,condom,5,2023-11-15,perfetto,orologio bellissimo ....ottimo qualità prezzo,it,orologio bellissimo ....ottimo qualità prezzo
320,Andrea,5,2023-11-06,Perfetto,Ottima qualità prezzo fa il suo …facile configurazione e utilizzo per me perfetto e straconsigliato,it,Ottima qualità prezzo fa il suo …facile configurazione e utilizzo per me perfetto e straconsigliato
321,Guardino Salvatore,5,2023-10-13,Ottimo,"Ottimo prodotto , ne ho comprati diversi ma questo è perfetto. Posso rispondere alle chiamate. Vedo sms  scritti, ( no audio ne foto) ma non si può rispondereLa batteria dura 4 gg . Battito affidabile e utile. Avvisa se troppo basso o troppoAlto",it,"Ottimo prodotto , ne ho comprati diversi ma questo è perfetto. Posso rispondere alle chiamate. Vedo sms  scritti, ( no audio ne foto) ma non si può rispondereLa batteria dura 4 gg . Battito affidabile e utile. Avvisa se troppo basso o troppoAlto"
322,Anna Maria,5,2023-11-16,Bellissimo,È veramente funzionante,co,È veramente funzionante
323,silvia,5,2023-11-01,Efficiente,Schermo grande e che permette di leggere chiaramente le info. Facile utilizzo e efficiente nelle prestazioni.offre diverse possibilità di personalizzazione. Comodo.,it,Schermo grande e che permette di leggere chiaramente le info. Facile utilizzo e efficiente nelle prestazioni.offre diverse possibilità di personalizzazione. Comodo.
324,Antonio,5,2023-11-10,Comodo,Utile senza avere il telefono in mano,it,Utile senza avere il telefono in mano
325,Federica Colonna,5,2023-10-31,Ottimo!,"Rispecchia fedelmente la descrizione del prodotto. Facile da usare, intuitivo. Secondo il mio gusto, anche l'estetica è molto soddisfacente. Consigliato",it,"Rispecchia fedelmente la descrizione del prodotto. Facile da usare, intuitivo. Secondo il mio gusto, anche l'estetica è molto soddisfacente. Consigliato"
326,Fortini Francesco,5,2023-10-28,Smartwatch,Regalato alla mia compagna che lo ha preferito ad altri più costosi. Funziona benissimo ed è soddisfatta delle funzioni che ha questo smartwacth.,it,Regalato alla mia compagna che lo ha preferito ad altri più costosi. Funziona benissimo ed è soddisfatta delle funzioni che ha questo smartwacth.
327,Antonio M.,5,2023-10-30,Soddifatto,"Regalo x mia moglie abbinato a Samsung A14,ha tante funzioni molto carino esteticamente ottimo rapporto qualità prezzo.",it,"Regalo x mia moglie abbinato a Samsung A14,ha tante funzioni molto carino esteticamente ottimo rapporto qualità prezzo."
328,"Definirlo orologio è riduttivo. Lo uso per rispondere alle chiamate quando sono in macchina o non ho vicino il cell. Interessante il monitoraggio della salute e del ciclo. Non è solo un orologio sportivo, ma un vero ausilio allo smartphone. Super soddisfatta!",5,2023-10-19,Soddisfatissima,Lo uso per rispondere alle chiamate quando sono in auto o non ho il cell vicino. Mi piace il monitoraggio della salute e del ciclo. Sono veramente soddisfatta,it,Lo uso per rispondere alle chiamate quando sono in auto o non ho il cell vicino. Mi piace il monitoraggio della salute e del ciclo. Sono veramente soddisfatta
329,Daniele,5,2023-11-03,Ottimo prodotto,Smartwatch super funzionale ad un ottimo prezzo,it,Smartwatch super funzionale ad un ottimo prezzo
330,Paolo,5,2023-10-29,Orologio,Funziona bene fa il suo lavoro discretamente consigliato,it,Funziona bene fa il suo lavoro discretamente consigliato
331,ANTONIO,5,2023-09-27,Great Watch for the price,I've had this Watch a few days now and love It!! It had great features! I love seeing how many steps I'm taking. I saw One review that someone wasn't Happy with It and said they wanted and Apple Watch. You can't compare the two. This One doesn't cost.,en,Ho questo orologio da qualche giorno e lo adoro!! Aveva ottime funzionalità! Adoro vedere quanti passi sto facendo. Ho visto una recensione in cui qualcuno non ne era soddisfatto e ha detto che voleva un Apple Watch. Non puoi confrontare i due. Questo non costa.
332,Roberto,5,2023-08-31,Rapporto prezzo e funzioni !!!,"Avuto esperienza con altro smartwatch di pari livello, durato 3 anni poi per colpa mia l'ho tenuto sempre facendo anche bagni in mare per cui ha dato problemi. Sostituito con questo, sono molto soddisfatto, leggero quindi portabilità perfetta, tutte le notifiche, anche quelle del mio iphone 13 tipo mail e calendario di apple arrivano tutte, a differenza di altri provati e resi perchè non dialogavano col mondo apple. Logicamente tutte le altre notifiche dei vari social sono presenti, buono il gps, la funzione chiamate e alexa le ho solo provate per vedere se funzionavano ma non le sfrutto, anche se funzionano. I rilevamenti relativi alla salute, ci sono ma non bisogna farne un affidamento come in tutti gli articoli di questo livello. Durata batteria molto buona, in conculsione per il prezzo ha un valore molto superiore alla media.",it,"Avuto esperienza con altro smartwatch di pari livello, durato 3 anni poi per colpa mia l'ho tenuto sempre facendo anche bagni in mare per cui ha dato problemi. Sostituito con questo, sono molto soddisfatto, leggero quindi portabilità perfetta, tutte le notifiche, anche quelle del mio iphone 13 tipo mail e calendario di apple arrivano tutte, a differenza di altri provati e resi perchè non dialogavano col mondo apple. Logicamente tutte le altre notifiche dei vari social sono presenti, buono il gps, la funzione chiamate e alexa le ho solo provate per vedere se funzionavano ma non le sfrutto, anche se funzionano. I rilevamenti relativi alla salute, ci sono ma non bisogna farne un affidamento come in tutti gli articoli di questo livello. Durata batteria molto buona, in conculsione per il prezzo ha un valore molto superiore alla media."
333,Giovanni Borchi,5,2023-09-28,Costa il giusto con moltissime funzioni,"Mi è  piaciuto la non esagerata dimensione e le moltissime  funzioni. La batteria con un uso semiintensivo mi è  durata una settimana. Molti schermi da poter scegliere, penso che farò prossimamente un altro acquisto per regalarlo a mio nipote",it,"Mi è  piaciuto la non esagerata dimensione e le moltissime  funzioni. La batteria con un uso semiintensivo mi è  durata una settimana. Molti schermi da poter scegliere, penso che farò prossimamente un altro acquisto per regalarlo a mio nipote"
